0	0.0134	0.0086	99.267	100.000	89.745	0.000	89.722	97.755
1	0.0106	0.0086	99.406	100.000	89.977	0.000	89.884	97.847
2	0.0099	0.0085	99.537	100.000	89.491	0.000	89.699	97.616
3	0.0086	0.0085	99.583	100.000	88.866	0.000	88.889	97.361
4	0.0102	0.0085	99.537	100.000	89.282	0.000	89.282	97.315
5	0.0106	0.0085	99.514	100.000	85.648	0.000	87.037	96.713
6	0.0116	0.0085	99.421	99.992	87.292	0.000	87.685	96.296
7	0.0120	0.0084	99.406	99.977	89.606	0.000	88.241	97.523
8	0.0113	0.0084	99.468	100.000	89.005	0.000	90.185	98.171
9	0.0121	0.0084	99.367	99.992	89.398	0.000	90.440	98.356
10	0.0114	0.0083	99.460	99.985	89.699	0.000	90.417	98.356
11	0.0101	0.0083	99.483	100.000	90.185	0.000	90.347	98.009
12	0.0102	0.0082	99.606	99.985	90.856	0.000	90.556	97.917
13	0.0114	0.0082	99.460	99.985	88.727	0.000	89.051	98.009
14	0.0102	0.0081	99.468	100.000	86.319	0.000	88.125	97.292
15	0.0106	0.0080	99.460	99.985	90.046	0.000	90.116	98.218
16	0.0096	0.0080	99.560	100.000	89.560	0.000	90.023	97.940
17	0.0093	0.0079	99.545	100.000	88.866	0.000	89.421	97.870
18	0.0091	0.0078	99.653	100.000	89.977	0.000	90.394	98.194
19	0.0082	0.0078	99.691	100.000	90.440	0.000	90.324	98.333
20	0.0081	0.0077	99.691	99.985	88.542	0.000	88.704	97.500
21	0.0077	0.0076	99.699	99.985	90.810	0.000	90.116	98.102
22	0.0063	0.0065	99.838	100.000	89.676	0.000	90.208	98.519
23	0.0069	0.0065	99.745	100.000	89.838	0.000	89.907	97.870
24	0.0064	0.0065	99.730	100.000	90.764	0.000	90.509	97.940
25	0.0064	0.0065	99.761	100.000	89.583	0.000	89.931	97.731
26	0.0071	0.0065	99.699	100.000	89.468	0.000	89.537	98.310
27	0.0066	0.0065	99.722	100.000	87.778	0.000	88.634	97.963
28	0.0067	0.0065	99.730	99.992	90.208	0.000	91.181	98.472
29	0.0063	0.0065	99.761	100.000	89.838	0.000	89.676	97.755
30	0.0053	0.0065	99.877	99.992	89.861	0.000	90.231	97.778
31	0.0054	0.0065	99.853	100.000	88.194	0.000	89.838	98.125
32	0.0053	0.0065	99.838	100.000	89.259	0.000	89.514	97.060
33	0.0051	0.0064	99.869	100.000	89.005	0.000	90.069	98.102
34	0.0056	0.0062	99.768	100.000	90.648	0.000	91.042	98.056
35	0.0053	0.0061	99.815	99.992	89.375	0.000	89.630	97.454
36	0.0060	0.0060	99.768	100.000	88.009	0.000	88.935	97.338
37	0.0049	0.0059	99.853	100.000	89.421	0.000	88.148	97.546
38	0.0050	0.0050	99.830	100.000	89.468	0.000	90.556	98.241
39	0.0054	0.0050	99.776	100.000	90.347	0.000	90.486	98.264
40	0.0063	0.0050	99.784	100.000	90.023	0.000	89.838	97.778
41	0.0056	0.0050	99.807	99.992	90.509	0.000	90.370	98.009
42	0.0046	0.0050	99.853	100.000	90.255	0.000	90.972	98.356
43	0.0044	0.0050	99.931	100.000	89.306	0.000	89.329	97.569
44	0.0042	0.0050	99.884	100.000	90.000	0.000	89.699	97.454
45	0.0040	0.0048	99.915	100.000	90.880	0.000	91.019	98.264
46	0.0043	0.0047	99.892	100.000	90.694	0.000	91.088	98.194
47	0.0038	0.0040	99.923	99.992	89.421	0.000	89.676	97.477
48	0.0042	0.0040	99.892	100.000	90.602	0.000	89.931	97.917
49	0.0042	0.0040	99.892	100.000	90.301	0.000	90.231	97.708
50	0.0042	0.0040	99.838	100.000	89.653	0.000	89.745	97.963
51	0.0033	0.0040	99.907	100.000	88.935	0.000	88.704	97.060
52	0.0029	0.0039	99.946	100.000	88.773	0.000	88.611	97.454
53	0.0027	0.0037	99.969	100.000	90.625	0.000	90.139	98.218
54	0.0025	0.0036	99.992	100.000	90.602	0.000	90.509	98.171
55	0.0026	0.0035	100.000	100.000	89.028	0.000	89.352	97.407
56	0.0025	0.0030	99.992	100.000	90.810	0.000	90.347	97.685
57	0.0023	0.0030	99.977	100.000	90.023	0.000	89.861	97.870
58	0.0020	0.0030	99.992	100.000	89.722	0.000	89.306	97.407
59	0.0021	0.0030	99.992	100.000	89.306	0.000	89.699	97.454
60	0.0020	0.0028	100.000	100.000	89.144	0.000	89.120	97.315
61	0.0020	0.0027	100.000	100.000	90.093	0.000	90.185	97.708
62	0.0021	0.0026	99.977	100.000	90.255	0.000	89.676	97.708
63	0.0018	0.0025	99.992	100.000	89.144	0.000	89.398	97.546
64	0.0018	0.0023	100.000	100.000	89.838	0.000	89.745	97.894
65	0.0017	0.0020	100.000	100.000	90.208	0.000	90.185	98.009
66	0.0017	0.0020	100.000	100.000	90.023	0.000	90.278	98.218
67	0.0016	0.0020	100.000	100.000	89.560	0.000	89.699	97.940
68	0.0015	0.0019	100.000	100.000	88.634	0.000	88.773	97.500
69	0.0015	0.0018	100.000	100.000	89.352	0.000	89.306	97.801
70	0.0016	0.0017	100.000	100.000	90.000	0.000	89.537	97.685
71	0.0015	0.0016	100.000	100.000	89.190	0.000	89.167	97.662
72	0.0015	0.0015	99.992	100.000	89.097	0.000	89.167	97.569
73	0.0014	0.0014	100.000	100.000	89.259	0.000	89.144	97.755
74	0.0013	0.0012	100.000	100.000	88.681	0.000	88.565	97.407
75	0.0014	0.0012	100.000	100.000	89.375	0.000	89.097	97.454
76	0.0014	0.0011	100.000	100.000	89.005	0.000	88.889	97.407
